method,psnr,ssim,rmse,mae,runtime
opencv_telea,30.07584322481316,0.9427074923114218,0.03134785592556,0.010203106328845024,0.040863990783691406
opencv_ns,31.834386613773997,0.9631396481019936,0.025602400302886963,0.008118292316794395,0.0030393600463867188
tv,32.77234754895807,0.968363355950334,0.02298172377049923,0.0059790825471282005,2.906315326690674
wavelet,29.930686548241546,0.9476168003775234,0.03187613561749458,0.00767558766528964,0.09604549407958984
kmeans_patch,29.17546077355627,0.9170336493843347,0.03477178141474724,0.010571412742137909,2.0030734539031982
