method,psnr,ssim,rmse,mae,runtime
corrupted,10.03544862308972,0.22044923364980362,0.31493982672691345,0.149338960647583,0.0
opencv_telea,30.07584322481316,0.9427074923114218,0.03134785592556,0.010203106328845024,0.03209090232849121
opencv_ns,31.834386613773997,0.9631396481019936,0.025602400302886963,0.008118292316794395,0.0034089088439941406
tv,32.77234754895807,0.968363355950334,0.02298172377049923,0.0059790825471282005,3.051795721054077
wavelet,29.930686548241546,0.9476168003775234,0.03187613561749458,0.00767558766528964,0.07371211051940918
kmeans_patch,29.175460786229486,0.9170336579361836,0.03477178514003754,0.010571412742137909,1.7874813079833984
ours_ae_tv,32.08747072523538,0.9673080739936372,0.02486717514693737,0.005766336806118488,1.1578147411346436
