method,psnr,ssim,rmse,mae,runtime
corrupted,10.03544862308972,0.22044923364980362,0.31493982672691345,0.149338960647583,0.0
opencv_telea,30.07584322481316,0.9427074923114218,0.03134785592556,0.010203106328845024,0.04722285270690918
tv,32.77234754895807,0.968363355950334,0.02298172377049923,0.0059790825471282005,5.593106508255005
ours_debug_ae_tv,29.035261216298917,0.9419454164278424,0.03533758968114853,0.010118775069713593,1.166607141494751
