method,psnr,ssim,rmse,mae,runtime
data_only_corrupted,10.03544862308972,0.22044923364980362,0.31493982672691345,0.149338960647583,0.0
opencv_telea,30.07584322481316,0.9427074923114218,0.03134785592556,0.010203106328845024,0.03236699104309082
tv_only,32.77234754895807,0.968363355950334,0.02298172377049923,0.0059790825471282005,2.94327449798584
ae_only,25.839345015497162,0.8582332177060821,0.051054347306489944,0.015285301953554153,1.176621437072754
ae_tv,32.05748329415429,0.967126389935881,0.024953175336122513,0.005797937512397766,1.2027668952941895
