image,mask_type,method,psnr,ssim,rmse,mae,psnr_missing,rmse_missing,mae_missing,runtime,lambda_dct,lambda_wavelet,lambda_tv,lambda_ae,patch_size,stride,latent_dim,ae_weight
cameraman,random30,lambda_ae_1e-03,30.596775837620818,0.9584168656515165,0.029523048549890518,0.007050745189189911,25.285749509046642,0.05441423458214556,0.023951774463057518,0.8674976825714111,,,0.01,0.001,8,4,16,D:\pythonProject\MMproject\results\ae_weights\cameraman_p8_d16_current.pt
cameraman,random30,lambda_ae_3e-03,30.507936693123536,0.9579565852451984,0.029826560989022255,0.007156915497034788,25.196909571841317,0.05497364345689556,0.024312440305948257,0.9053418636322021,,,0.01,0.003,8,4,16,D:\pythonProject\MMproject\results\ae_weights\cameraman_p8_d16_current.pt
cameraman,random30,lambda_ae_1e-02,30.174241403902904,0.9563879792435104,0.030994733795523643,0.007472190540283918,24.86321488286429,0.057126715609943486,0.025383448228240013,0.8387701511383057,,,0.01,0.01,8,4,16,D:\pythonProject\MMproject\results\ae_weights\cameraman_p8_d16_current.pt
cameraman,random30,lambda_ae_3e-02,29.55907725061256,0.952571848720248,0.0332694910466671,0.008046289905905724,24.24805029415616,0.06131934191139424,0.02733369544148445,0.8496444225311279,,,0.01,0.03,8,4,16,D:\pythonProject\MMproject\results\ae_weights\cameraman_p8_d16_current.pt
cameraman,random30,lambda_ae_1e-01,28.487444067822942,0.9388585936546414,0.037638109177351,0.009553143754601479,23.17641698726964,0.0693711909814292,0.03245256096124649,0.815758228302002,,,0.01,0.1,8,4,16,D:\pythonProject\MMproject\results\ae_weights\cameraman_p8_d16_current.pt
