method,method_label,random10,random30,random50,irregular
dct,DCT-only,36.42342394282388,30.181499106995243,26.132770366251734,33.07920821305153
wavelet,Wavelet,33.08542904679568,27.15256426038578,22.532044408430977,27.916132274484283
tv,TV,37.60359492308169,31.4718912261033,27.937072110515558,33.024057770077924
ae_only,AE-only,36.36399220406959,31.33910615678495,28.3463418475026,31.009396518104356
tv_ae,PAE-TV,37.676504519741584,31.622559048494686,28.16590278721871,33.16354486492279
