method,psnr,ssim,rmse,mae,runtime,method_label
dct,31.454225407280596,0.8943712042983044,0.029954173252917795,0.011018751014489637,0.46403348445892334,DCT-only
wavelet,27.67154249752418,0.8898804810570864,0.04546133440453555,0.012375506834359788,0.46074891090393066,Wavelet
tv,32.509154007444614,0.9673071052633161,0.025950242357794157,0.006564832765434356,0.38659507036209106,TV
ae_only,31.764709181615373,0.9588426084923954,0.027657772763632193,0.007693635561736262,1.1688087284564972,AE-only
tv_ae,32.65712780509444,0.9678422607014727,0.025463877653237377,0.0065171777750947,1.153112605214119,TV+AE
