image,mask_type,method,psnr,ssim,rmse,mae,psnr_missing,rmse_missing,mae_missing,runtime,lambda_dct,lambda_wavelet,lambda_tv,lambda_ae,patch_size,stride,latent_dim,ae_weight
cameraman,random30,corrupted,10.012390123545583,0.23273924867902301,0.3157769739627838,0.14932909607887268,4.701363555958048,0.5820118433641988,0.5072792768478394,0.0,,,,,,,,
cameraman,random30,dct,28.993697655064036,0.8259450066232119,0.035507094115018845,0.013243209570646286,23.682671047314578,0.06544348941247802,0.04498792067170143,1.9131124019622803,0.01,,,,8.0,4.0,16.0,
cameraman,random30,wavelet,26.46762416791286,0.8854711885051314,0.04749181866645813,0.011519729159772396,21.156597187329027,0.08753266289012285,0.039133161306381226,0.4670600891113281,,0.01,,,8.0,4.0,16.0,
cameraman,random30,tv,30.619682310640016,0.9584818569178929,0.029445292428135872,0.00699938740581274,25.30865559278225,0.05427092456916736,0.0237773098051548,0.3763723373413086,,,0.01,,8.0,4.0,16.0,
cameraman,random30,ae_only,29.994851135859303,0.941997675889654,0.03164152801036835,0.008794309571385384,24.683824202597627,0.05831882830070723,0.029874760657548904,1.0877277851104736,,,,0.01,8.0,4.0,16.0,D:\pythonProject\MMproject\results\ae_weights\cameraman_p8_d16_combined.pt
cameraman,random30,tv_ae,30.74670022069641,0.958822208592101,0.02901783399283886,0.006995720323175192,25.435673784897205,0.05348306782808162,0.023764852434396744,1.1747004985809326,,,0.01,0.01,8.0,4.0,16.0,D:\pythonProject\MMproject\results\ae_weights\cameraman_p8_d16_combined.pt
