image,mask_type,method,psnr,ssim,rmse,mae,psnr_missing,rmse_missing,mae_missing,runtime,status,ae_weight,lambda_dct,lambda_wavelet,lambda_tv,lambda_ae,patch_size,stride,latent_dim
barbara,random10,ae_only,39.22018924912986,0.9913248981929088,0.010939325205981731,0.0019779419526457787,29.339410883793636,0.03412160536486758,0.01924382522702217,1.1338183879852295,ok,D:\pythonProject\MMproject\results\ae_weights\barbara_p8_d16_combined.pt,,,,0.01,8.0,4.0,16.0
barbara,random10,tv_ae,40.746231186892715,0.9943288801194391,0.009176740422844887,0.0014234182890504599,30.865452841761787,0.028623804559378692,0.013848744332790375,1.1866490840911865,ok,D:\pythonProject\MMproject\results\ae_weights\barbara_p8_d16_combined.pt,,,0.01,0.01,8.0,4.0,16.0
barbara,random30,corrupted,12.23148146561045,0.17178286745947788,0.24458280205726624,0.11899414658546448,6.920454739689443,0.4507931031729792,0.4042297601699829,0.0,ok,,,,,,,,
barbara,random30,dct,33.68802332512391,0.9216498464177738,0.02068229950964451,0.007742277812212706,28.37699659404802,0.03811976110752108,0.026300949975848198,0.3651249408721924,ok,,0.01,,,,8.0,4.0,16.0
barbara,random30,wavelet,28.77185893025256,0.9285718622970079,0.0364256277680397,0.00871422328054905,23.460832229090318,0.06713645237808623,0.02960270270705223,0.4559321403503418,ok,,,0.01,,,8.0,4.0,16.0
barbara,random30,tv,33.9951841834169,0.9782989625767718,0.019963687285780907,0.004834794905036688,28.684157809527072,0.03679527978061393,0.016424067318439484,0.4132862091064453,ok,,,,0.01,,8.0,4.0,16.0
barbara,random30,ae_only,34.48582084027926,0.973193676154625,0.018867265433073044,0.005722242407500744,29.174793636409255,0.03477445387174472,0.01943877711892128,1.2709448337554932,ok,D:\pythonProject\MMproject\results\ae_weights\barbara_p8_d16_combined.pt,,,,0.01,8.0,4.0,16.0
barbara,random30,tv_ae,34.19916525999849,0.9788499474024875,0.01950031891465187,0.004801604896783829,28.888138588562008,0.03594124116290636,0.016311319544911385,1.2071166038513184,ok,D:\pythonProject\MMproject\results\ae_weights\barbara_p8_d16_combined.pt,,,0.01,0.01,8.0,4.0,16.0
barbara,random50,corrupted,9.896723762808504,0.10586450777818347,0.3200102150440216,0.2027820199728012,6.8715540981219005,0.45333817827683764,0.4069550037384033,0.0,ok,,,,,,,,
barbara,random50,dct,29.042903093031263,0.80911507867129,0.03530651330947876,0.017445487901568413,26.017734085121624,0.050016499754809554,0.03501063957810402,0.3930246829986572,ok,,0.01,,,,8.0,4.0,16.0
barbara,random50,wavelet,23.57601520615954,0.7738244512222315,0.06625203788280487,0.02189127542078495,20.55084626911544,0.09385505889213744,0.0439327098429203,0.454235315322876,ok,,,0.01,,,8.0,4.0,16.0
barbara,random50,tv,30.164707113238826,0.9516990295581538,0.03102877549827099,0.009647241793572903,27.139537997063762,0.04395649953017333,0.019360657781362534,0.3848304748535156,ok,,,,0.01,,8.0,4.0,16.0
barbara,random50,ae_only,31.329779656156834,0.9470481552850396,0.027133824303746223,0.010489706881344318,28.304610253316905,0.03843877044958476,0.02105136588215828,1.4546818733215332,ok,D:\pythonProject\MMproject\results\ae_weights\barbara_p8_d16_combined.pt,,,,0.01,8.0,4.0,16.0
